id,title,artist,year,rank
9416,The Way,Ariana Grande Featuring Mac Miller,2013,31
9417,Started From The Bottom,Drake,2013,32
9418,Come & Get It,Selena Gomez,2013,33
9419,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013,34
9420,Daylight,Maroon 5,2013,35
9421,Feel This Moment,Pitbull Featuring Christina Aguilera,2013,36
9422,Applause,Lady Gaga,2013,37
9423,One More Night,Maroon 5,2013,38
9424,Love Me,Lil Wayne Featuring Drake & Future,2013,39
9425,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013,40
9426,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013,41
9427,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013,42
9428,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,2013,43
9429,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013,44
9430,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013,45
9431,Home,Phillip Phillips,2013,46
9432,It's Time,Imagine Dragons,2013,47
9433,Power Trip,J. Cole Featuring Miguel,2013,48
9434,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013,49
9435,Heart Attack,Demi Lovato,2013,50
9436,Love Somebody,Maroon 5,2013,51
9437,I Will Wait,Mumford & Sons,2013,52
9438,Try,P!nk,2013,53
9439,Wagon Wheel,Darius Rucker,2013,54
9440,Gangnam Style,PSY,2013,55
9441,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013,56
9442,Die Young,Ke$ha,2013,57
9443,Some Nights,fun.,2013,58
9444,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013,59
9445,Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,2013,60
9446,"Gone, Gone, Gone",Phillip Phillips,2013,61
9447,Demons,Imagine Dragons,2013,62
9448,Counting Stars,OneRepublic,2013,63
9449,I Cry,Flo Rida,2013,64
9450,Little Talks,Of Monsters And Men,2013,65
9451,The Other Side,Jason Derulo,2013,66
9452,Berzerk,Eminem,2013,67
9453,Catch My Breath,Kelly Clarkson,2013,68
9454,Crash My Party,Luke Bryan,2013,69
9455,Pour It Up,Rihanna,2013,70
9456,22,Taylor Swift,2013,71
9457,I Want Crazy,Hunter Hayes,2013,72
9458,The Fox,Ylvis,2013,73
9459,Best Song Ever,One Direction,2013,74
9460,The A Team,Ed Sheeran,2013,75
9461,Carry On,fun.,2013,76
9462,Highway Don't Care,Tim McGraw With Taylor Swift,2013,77
9463,That's My Kind Of Night,Luke Bryan,2013,78
9464,Swimming Pools (Drank),Kendrick Lamar,2013,79
9465,Sure Be Cool If You Did,Blake Shelton,2013,80
9466,#Beautiful,Mariah Carey Featuring Miguel,2013,81
9467,Troublemaker,Olly Murs Featuring Flo Rida,2013,82
9468,Body Party,Ciara,2013,83
9469,Adorn,Miguel,2013,84
9470,Hall Of Fame,The Script Featuring will.i.am,2013,85
9471,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2013,86
9472,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013,87
9473,Next To Me,Emeli Sande,2013,88
9474,Mama's Broken Heart,Miranda Lambert,2013,89
9475,It Goes Like This,Thomas Rhett,2013,90
9476,Bugatti,Ace Hood Featuring Future & Rick Ross,2013,91
9477,Wanted,Hunter Hayes,2013,92
9478,Downtown,Lady Antebellum,2013,93
9479,Get Your Shine On,Florida Georgia Line,2013,94
9480,#thatPOWER,will.i.am Featuring Justin Bieber,2013,95
9481,Brave,Sara Bareilles,2013,96
9482,Let Her Go,Passenger,2013,97
9483,Runnin' Outta Moonlight,Randy Houser,2013,98
9484,I'm Different,2 Chainz,2013,99
9485,Still Into You,Paramore,2013,100
9486,Happy,Pharrell Williams,2014,1
9487,Dark Horse,Katy Perry Featuring Juicy J,2014,2
9488,All Of Me,John Legend,2014,3
9489,Fancy,Iggy Azalea Featuring Charli XCX,2014,4
9490,Counting Stars,OneRepublic,2014,5
9491,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014,6
9492,Rude,MAGIC!,2014,7
9493,All About That Bass,Meghan Trainor,2014,8
9494,Problem,Ariana Grande Featuring Iggy Azalea,2014,9
9495,Stay With Me,Sam Smith,2014,10
9496,Timber,Pitbull Featuring Ke$ha,2014,11
9497,Pompeii,Bastille,2014,12
9498,Shake It Off,Taylor Swift,2014,13
9499,Am I Wrong,Nico & Vinz,2014,14
9500,Turn Down For What,DJ Snake & Lil Jon,2014,15
9501,The Monster,Eminem Featuring Rihanna,2014,16
9502,Say Something,A Great Big World & Christina Aguilera,2014,17
9503,Team,Lorde,2014,18
9504,Let Her Go,Passenger,2014,19
9505,Royals,Lorde,2014,20
9506,Let It Go,Idina Menzel,2014,21
9507,Wake Me Up!,Avicii,2014,22
9508,Demons,Imagine Dragons,2014,23
9509,Story Of My Life,One Direction,2014,24
9510,Chandelier,Sia,2014,25
9511,Black Widow,Iggy Azalea Featuring Rita Ora,2014,26
9512,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014,27
9513,Latch,Disclosure Featuring Sam Smith,2014,28
9514,Maps,Maroon 5,2014,29
9515,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014,30
9516,Best Day Of My Life,American Authors,2014,31
9517,Habits (Stay High),Tove Lo,2014,32
9518,Summer,Calvin Harris,2014,33
9519,Boom Clap,Charli XCX,2014,34
9520,Drunk In Love,Beyonce Featuring Jay Z,2014,35
9521,Anaconda,Nicki Minaj,2014,36
9522,Break Free,Ariana Grande Featuring Zedd,2014,37
9523,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014,38
9524,Burn,Ellie Goulding,2014,39
9525,Wiggle,Jason Derulo Featuring Snoop Dogg,2014,40
9526,Rather Be,Clean Bandit Featuring Jess Glynne,2014,41
9527,Don't Tell 'Em,Jeremih Featuring YG,2014,42
9528,Show Me,Kid Ink Featuring Chris Brown,2014,43
9529,Wrecking Ball,Miley Cyrus,2014,44
9530,Not A Bad Thing,Justin Timberlake,2014,45
9531,Roar,Katy Perry,2014,46
9532,Ain't It Fun,Paramore,2014,47
9533,The Man,Aloe Blacc,2014,48
9534,This Is How We Roll,Florida Georgia Line Featuring Luke Bryan,2014,49
9535,Classic,MKTO,2014,50
9536,A Sky Full Of Stars,Coldplay,2014,51
9537,Don't,Ed Sheeran,2014,52
9538,Na Na,Trey Songz,2014,53
9539,Hot Boy,Bobby Shmurda,2014,54
9540,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014,55
9541,Sing,Ed Sheeran,2014,56
9542,Radioactive,Imagine Dragons,2014,57
9543,My Hitta,YG Featuring Jeezy & Rich Homie Quan,2014,58
9544,Cool Kids,Echosmith,2014,59
9545,Hey Brother,Avicii,2014,60
9546,Trumpets,Jason Derulo,2014,61
9547,Animals,Maroon 5,2014,62
9548,Burnin' It Down,Jason Aldean,2014,63
9549,Play It Again,Luke Bryan,2014,64
9550,2 On,Tinashe Featuring ScHoolboy Q,2014,65
9551,Dirt,Florida Georgia Line,2014,66
9552,Love Runs Out,OneRepublic,2014,67
9553,Bottoms Up,Brantley Gilbert,2014,68
9554,Shower,Becky G,2014,69
9555,Me And My Broken Heart,Rixton,2014,70
9556,Animals,Martin Garrix,2014,71
9557,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014,72
9558,American Kids,Kenny Chesney,2014,73
9559,Brave,Sara Bareilles,2014,74
9560,Sweater Weather,The Neighbourhood,2014,75
9561,Leave The Night On,Sam Hunt,2014,76
9562,New Flame,Chris Brown Featuring Usher & Rick Ross,2014,77
9563,Love Never Felt So Good,Michael Jackson & Justin Timberlake,2014,78
9564,Drunk On A Plane,Dierks Bentley,2014,79
9565,Birthday,Katy Perry,2014,80
9566,Bartender,Lady Antebellum,2014,81
9567,La La La,Naughty Boy Featuring Sam Smith,2014,82
9568,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014,83
9569,Do What U Want,Lady Gaga Featuring R. Kelly,2014,84
9570,Can't Remember To Forget You,Shakira Featuring Rihanna,2014,85
9571,Amnesia,5 Seconds Of Summer,2014,86
9572,No Mediocre,T.I. Featuring Iggy Azalea,2014,87
9573,Come With Me Now,KONGOS,2014,88
9574,Believe Me,Lil Wayne Featuring Drake,2014,89
9575,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014,90
9576,Beachin',Jake Owen,2014,91
9577,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,2014,92
9578,She Looks So Perfect,5 Seconds Of Summer,2014,93
9579,Stay The Night,Zedd Featuring Hayley Williams,2014,94
9580,Partition,Beyonce,2014,95
9581,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2014,96
9582,0 To 100 / The Catch Up,Drake,2014,97
9583,I Don't Dance,Lee Brice,2014,98
9584,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,2014,99
9585,Adore You,Miley Cyrus,2014,100
9586,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015,1
9587,Thinking Out Loud,Ed Sheeran,2015,2
9588,See You Again,Wiz Khalifa Featuring Charlie Puth,2015,3
9589,Trap Queen,Fetty Wap,2015,4
9590,Sugar,Maroon 5,2015,5
9591,Shut Up And Dance,WALK THE MOON,2015,6
9592,Blank Space,Taylor Swift,2015,7
9593,Watch Me,Silento,2015,8
9594,Earned It (Fifty Shades Of Grey),The Weeknd,2015,9
9595,The Hills,The Weeknd,2015,10
9596,Cheerleader,OMI,2015,11
9597,Can't Feel My Face,The Weeknd,2015,12
9598,Love Me Like You Do,Ellie Goulding,2015,13
9599,Take Me To Church,Hozier,2015,14
9600,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,15
9601,Lean On,Major Lazer & DJ Snake Featuring MO,2015,16
9602,Want To Want Me,Jason Derulo,2015,17
9603,Shake It Off,Taylor Swift,2015,18
9604,Where Are U Now,Skrillex & Diplo With Justin Bieber,2015,19
9605,Fight Song,Rachel Platten,2015,20
9606,679,Fetty Wap Featuring Remy Boyz,2015,21
9607,Lips Are Movin,Meghan Trainor,2015,22
9608,Worth It,Fifth Harmony Featuring Kid Ink,2015,23
9609,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015,24
9610,"Honey, I'm Good.",Andy Grammer,2015,25
9611,I'm Not The Only One,Sam Smith,2015,26
9612,Good For You,Selena Gomez Featuring A$AP Rocky,2015,27
9613,All About That Bass,Meghan Trainor,2015,28
9614,Style,Taylor Swift,2015,29
9615,Hotline Bling,Drake,2015,30
9616,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015,31
9617,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015,32
9618,What Do You Mean?,Justin Bieber,2015,33
9619,Photograph,Ed Sheeran,2015,34
9620,Hello,Adele,2015,35
9621,Stitches,Shawn Mendes,2015,36
9622,Talking Body,Tove Lo,2015,37
9623,Jealous,Nick Jonas,2015,38
9624,Time Of Our Lives,Pitbull & Ne-Yo,2015,39
9625,Locked Away,R. City Featuring Adam Levine,2015,40
9626,Somebody,Natalie La Rose Featuring Jeremih,2015,41
9627,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015,42
9628,Centuries,Fall Out Boy,2015,43
9629,My Way,Fetty Wap Featuring Monty,2015,44
9630,Take Your Time,Sam Hunt,2015,45
9631,Animals,Maroon 5,2015,46
9632,I Don't F**k With You,Big Sean Featuring E-40,2015,47
9633,B**** Better Have My Money,Rihanna,2015,48
9634,Flex (Ooh Ooh Ooh),Rich Homie Quan,2015,49
9635,Nasty Freestyle,T-Wayne,2015,50
9636,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015,51
9637,Elastic Heart,Sia,2015,52
9638,Cool For The Summer,Demi Lovato,2015,53
9639,Renegades,X Ambassadors,2015,54
9640,I Don't Mind,Usher Featuring Juicy J,2015,55
9641,Love Me Harder,Ariana Grande & The Weeknd,2015,56
9642,Wildest Dreams,Taylor Swift,2015,57
9643,Stay With Me,Sam Smith,2015,58
9644,You Know You Like It,DJ Snake & AlunaGeorge,2015,59
9645,Uma Thurman,Fall Out Boy,2015,60
9647,The Heart Wants What It Wants,Selena Gomez,2015,62
9648,Girl Crush,Little Big Town,2015,63
9649,Slow Motion,Trey Songz,2015,64
9650,Drag Me Down,One Direction,2015,65
9651,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015,66
9652,One Last Time,Ariana Grande,2015,67
9653,Chains,Nick Jonas,2015,68
9654,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015,69
9655,No Type,Rae Sremmurd,2015,70
9656,Riptide,Vance Joy,2015,71
9657,Classic Man,Jidenna Featuring Roman GianArthur,2015,72
9658,Ex's & Oh's,Elle King,2015,73
9659,Dear Future Husband,Meghan Trainor,2015,74
9660,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,2015,75
9661,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2015,76
9662,Habits (Stay High),Tove Lo,2015,77
9663,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015,78
9664,CoCo,O.T. Genasis,2015,79
9665,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015,80
9666,Lay Me Down,Sam Smith,2015,81
9667,Tuesday,I LOVE MAKONNEN Featuring Drake,2015,82
9668,Hit The Quan,iLoveMemphis,2015,83
9669,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",2015,84
9670,House Party,Sam Hunt,2015,85
9671,Ayo,Chris Brown & Tyga,2015,86
9672,Kick The Dust Up,Luke Bryan,2015,87
9673,Blessings,Big Sean Featuring Drake,2015,88
9674,Budapest,George Ezra,2015,89
9675,Chandelier,Sia,2015,90
9676,Heartbeat Song,Kelly Clarkson,2015,91
9677,Don't,Ed Sheeran,2015,92
9678,Ghost,Ella Henderson,2015,93
9679,Here,Alessia Cara,2015,94
9680,Waves,Mr. Probz,2015,95
9682,She Knows,Ne-Yo Featuring Juicy J,2015,97
9683,Night Changes,One Direction,2015,98
9684,Back To Back,Drake,2015,99
9685,How Deep Is Your Love,Calvin Harris & Disciples,2015,100
9686,Love Yourself,Justin Bieber,2016,1
9687,Sorry,Justin Bieber,2016,2
9688,One Dance,Drake Featuring WizKid & Kyla,2016,3
9689,Work,Rihanna Featuring Drake,2016,4
9690,Stressed Out,twenty one pilots,2016,5
9691,Panda,Desiigner,2016,6
9692,Hello,Adele,2016,7
9693,Don't Let Me Down,The Chainsmokers Featuring Daya,2016,8
9694,Can't Stop The Feeling!,Justin Timberlake,2016,9
9695,Closer,The Chainsmokers Featuring Halsey,2016,10
9696,Cheap Thrills,Sia Featuring Sean Paul,2016,11
9697,7 Years,Lukas Graham,2016,12
9698,Needed Me,Rihanna,2016,13
9699,My House,Flo Rida,2016,14
9700,I Took A Pill In Ibiza,Mike Posner,2016,15
9701,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016,16
9702,This Is What You Came For,Calvin Harris Featuring Rihanna,2016,17
9703,Cake By The Ocean,DNCE,2016,18
9704,"Me, Myself & I",G-Eazy x Bebe Rexha,2016,19
9705,Ride,twenty one pilots,2016,20
9706,Heathens,twenty one pilots,2016,21
9707,Pillowtalk,Zayn,2016,22
9708,Stitches,Shawn Mendes,2016,23
9709,Hotline Bling,Drake,2016,24
9710,Cold Water,Major Lazer Featuring Justin Bieber & MO,2016,25
9711,Send My Love (To Your New Lover),Adele,2016,26
9712,Roses,The Chainsmokers Featuring Rozes,2016,27
9713,Treat You Better,Shawn Mendes,2016,28
9714,Too Good,Drake Featuring Rihanna,2016,29
9715,Low Life,Future Featuring The Weeknd,2016,30
9716,What Do You Mean?,Justin Bieber,2016,31
9717,The Hills,The Weeknd,2016,32
9718,Just Like Fire,P!nk,2016,33
9719,Broccoli,D.R.A.M. Featuring Lil Yachty,2016,34
9720,Don't,Bryson Tiller,2016,35
9721,Dangerous Woman,Ariana Grande,2016,36
9722,Jumpman,Drake & Future,2016,37
9723,I Hate U I Love U,gnash Featuring Olivia O'Brien,2016,38
9724,Here,Alessia Cara,2016,39
9725,Same Old Love,Selena Gomez,2016,40
9726,Controlla,Drake,2016,41
9727,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016,42
9728,One Call Away,Charlie Puth,2016,43
9729,Let It Go,James Bay,2016,44
9730,No,Meghan Trainor,2016,45
9731,Never Forget You,Zara Larsson & MNEK,2016,46
9732,Let Me Love You,DJ Snake Featuring Justin Bieber,2016,47
9733,Don't Mind,Kent Jones,2016,48
9734,H.O.L.Y.,Florida Georgia Line,2016,49
9735,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016,50
9736,Into You,Ariana Grande,2016,51
9737,Gold,Kiiara,2016,52
9738,Exchange,Bryson Tiller,2016,53
9739,679,Fetty Wap Featuring Remy Boyz,2016,54
9740,Oui,Jeremih,2016,55
9741,Hands To Myself,Selena Gomez,2016,56
9742,2 Phones,Kevin Gates,2016,57
9743,Starboy,The Weeknd Featuring Daft Punk,2016,58
9744,For Free,DJ Khaled Featuring Drake,2016,59
9745,Never Be Like You,Flume Featuring Kai,2016,60
9746,In The Night,The Weeknd,2016,61
9747,Me Too,Meghan Trainor,2016,62
9748,Ex's & Oh's,Elle King,2016,63
9749,Die A Happy Man,Thomas Rhett,2016,64
9750,White Iverson,Post Malone,2016,65
9751,Close,Nick Jonas Featuring Tove Lo,2016,66
9752,Unsteady,X Ambassadors,2016,67
9753,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016,68
9754,Down In The DM,Yo Gotti Featuring Nicki Minaj,2016,69
9755,Luv,Tory Lanez,2016,70
9756,Sorry,Beyonce,2016,71
9757,Can't Feel My Face,The Weeknd,2016,72
9758,Hymn For The Weekend,Coldplay,2016,73
9759,Say It,Tory Lanez,2016,74
9760,Antidote,Travis Scott,2016,75
9761,Lost Boy,Ruth B,2016,76
9762,Side To Side,Ariana Grande Featuring Nicki Minaj,2016,77
9763,"Sit Still, Look Pretty",Daya,2016,78
9764,Wildest Dreams,Taylor Swift,2016,79
9765,Middle,DJ Snake Featuring Bipolar Sunshine,2016,80
9766,On My Mind,Ellie Goulding,2016,81
9767,Pop Style,Drake Featuring The Throne,2016,82
9768,When We Were Young,Adele,2016,83
9769,Hide Away,Daya,2016,84
9770,Lean On,Major Lazer & DJ Snake Featuring MO,2016,85
9771,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2016,86
9772,Watch Me,Silento,2016,88
9773,Back To Sleep,Chris Brown,2016,89
9774,No Limit,Usher Featuring Young Thug,2016,90
9775,Cut It,O.T. Genasis Featuring Young Dolph,2016,91
9776,Really Really,Kevin Gates,2016,92
9777,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,2016,93
9778,Starving,Hailee Steinfeld & Grey Featuring Zedd,2016,94
9779,Adventure Of A Lifetime,Coldplay,2016,95
9780,Humble And Kind,Tim McGraw,2016,96
9781,Wicked,Future,2016,97
9782,Tiimmy Turner,Desiigner,2016,98
9783,See You Again,Wiz Khalifa Featuring Charlie Puth,2016,99
9784,Perfect,One Direction,2016,100
